"","(Intercept)","SBP.Resting","SBP","HR","HR.1minDrop","Duration","Watts","Watts.Predicted.Percentage","Weight","VO2.Predicted.Relative.Percentage","VCO2.Peak","VEperVCO2.Peak","VEperVCO2.atAT","AT","VO2.Peak.Predicted.Percentage","RER.Peak","StepData.MeanDailyTotalSteps","StepData.StdDevDailyTotalSteps","StepData.MeanDailyMaxSteps","StepData.ModeDailyMaxSteps","StepData.MaxDailyMaxSteps","Rsquared","ResidualSumOfSquares","MallowsCp","BIC"
"1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.214525675376992,7.12406945588309,20.796146197642,-2.8607026335867
"1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.165542363346939,7.56833670452776,24.5251201380691,-0.259451759524916
"1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.145380555837219,7.75119960984847,26.059986844296,0.7671430733272
"1",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.140308595376921,7.79720111169769,26.4461021884712,1.02158343494542
"1",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.124879229007581,7.93714187644287,27.6207002857431,1.78648497060941
"2",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.339337945890735,5.99205118843286,13.294508090653,-6.54045153451994
"2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.32981285427852,6.07844155421807,14.0196288905764,-5.92492584891844
"2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.329621069136857,6.08018100085175,14.0342290016302,-5.91262244770338
"2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.312779037652148,6.23293430966657,15.3163696717385,-4.84567405840375
"2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.30651529440643,6.28974500422075,15.793212383364,-4.4555216695088
"3",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.428168200507344,5.18638143725897,8.53208858779031,-8.98834620731732
