"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"1","II","Handedness",0.885714285714286,0.322802851090676,0.0545636406075561,1,1,1,35
"2","III","Handedness",1,0,0,1,1,1,15
"4","II","WristbandPreference",0.428571428571429,0.502096445253434,0.0848697893980006,0,0,1,35
"5","III","WristbandPreference",0.214285714285714,0.42581531362632,0.113803929545099,0,0,0,14
"7","II","NYHAClassMixed",NA,NA,NA,NA,NA,NA,0
"8","III","NYHAClassMixed",NA,NA,NA,NA,NA,NA,0
"10","II","EjectionFraction",31,9.64365076099295,5.56776436283002,35,27.5,36.5,3
"11","III","EjectionFraction",19,NA,NA,19,19,19,1
"13","II","HFDiagnosisYear",16849,18744.4989263517,3262.9984351634,2012,2003,39142,33
"14","III","HFDiagnosisYear",14960.4166666667,19153.0202387287,5529.00069531219,2004,1989.25,40603,12
"16","II","HFTreatmentsToDate",NA,NA,NA,NA,NA,NA,0
"17","III","HFTreatmentsToDate",NA,NA,NA,NA,NA,NA,0
"19","II","RegularPhysicalActivities",NA,NA,NA,NA,NA,NA,0
"20","III","RegularPhysicalActivities",NA,NA,NA,NA,NA,NA,0
"22","II","Exercises",NA,NA,NA,NA,NA,NA,0
"23","III","Exercises",NA,NA,NA,NA,NA,NA,0
"25","II","DeviceID",NA,NA,NA,NA,NA,NA,0
"26","III","DeviceID",NA,NA,NA,NA,NA,NA,0
"28","II","ID",27.3428571428571,14.796547405596,2.50107299902633,27,15.5,40,35
"29","III","ID",26.2,16.6870351727664,4.30857395478011,28,10.5,38,15
"31","II","CPSDate",NA,NA,NA,NA,NA,NA,0
"32","III","CPSDate",NA,NA,NA,NA,NA,NA,0
"34","II","Sex",0.171428571428571,0.382385260431097,0.0646349059597627,0,0,0,35
"35","III","Sex",0.0666666666666667,0.258198889747161,0.0666666666666667,0,0,0,15
"37","II","Age",54.0857142857143,14.2856806722294,2.41472076036552,55,46,64.5,35
"38","III","Age",56.1333333333333,12.7608030796692,3.29482518745274,56,48.5,67,15
"40","II","Height",173.314285714286,8.95994822914215,1.51450767360135,175,167.5,178.5,35
"41","III","Height",175.6,8.21844615136323,2.12199367172882,177,171,180,15
"43","II","Weight",85.5428571428571,20.5589151366661,3.47509092007117,84.8,73.4,95,35
"44","III","Weight",92.7533333333333,18.3191105003439,4.72997399234435,94,82,104.2,15
"46","II","SBP.Resting",110.571428571429,14.2545879390084,2.40946512921095,109,102,115,35
"47","III","SBP.Resting",103.4,15.5508382870047,4.01520918034226,98,93.5,111,15
"49","II","DBP.Resting",68.9428571428571,8.07662880000742,1.36519943883783,70,64.5,72,35
"50","III","DBP.Resting",65.7333333333333,10.7601557786564,2.77826027555558,66,56,74.5,15
"52","II","HR.Resting",66.6571428571429,11.9802358248979,2.0250294560127,65,60,76,35
"53","III","HR.Resting",67.6666666666667,12.1576940169394,3.13910309705945,70,60,78,15
"55","II","O2Sat.Resting",98.5757575757576,1.09059338866231,0.189847940699116,99,98,99,33
"56","III","O2Sat.Resting",98.2666666666667,1.38701460836198,0.358125631942156,99,98,99,15
"58","II","FEV.Resting",2.6069696969697,0.789238101147575,0.137388718638696,2.65,2.27,2.87,33
"59","III","FEV.Resting",2.79733333333333,0.842576547320917,0.217552329045257,3.04,2.17,3.44,15
"61","II","FEV.Resting.Percentage",72.7575757575758,22.6633381023051,3.94518077298072,75,64,87,33
"62","III","FEV.Resting.Percentage",78.1333333333333,15.4497649851135,3.98911216601086,84,75,88,15
"64","II","FVC.Resting",3.3569696969697,1.00165327349489,0.174365453930342,3.33,2.96,3.75,33
"65","III","FVC.Resting",3.594,0.918032056707639,0.237034857794215,3.8,2.84,4.23,15
"67","II","FVC.Resting.Percentage",74.3333333333333,17.3415445294434,3.01877542233685,76,65,84,33
"68","III","FVC.Resting.Percentage",76.8,12.5254027594211,3.23404508611856,80,73.5,85.5,15
"70","II","SBP",133.428571428571,18.3451960602059,3.10090410082237,130,120,144,35
"71","III","SBP",121.6,23.4819079292974,6.06300255648965,110,105.5,135,15
"73","II","DBP",73.4,8.89216442916426,1.50305012021075,70,70,80,35
"74","III","DBP",70.8666666666667,11.0121145411164,2.84331574828482,70,60,80,15
"76","II","HR",110.088235294118,17.2422448919117,2.95702060364351,113,102,120.75,34
"77","III","HR",95.6666666666667,21.4498307241628,5.53832247824338,93,77,117.5,15
"79","II","HR.1min",91.0606060606061,14.0933038043325,2.45332929092972,93,80,100,33
"80","III","HR.1min",82.4666666666667,14.4066783455584,3.71978835376764,80,71.5,94,15
"82","II","HR.1minDrop",22.0606060606061,13.9797608034334,2.43356399148302,20,12,27,33
"83","III","HR.1minDrop",12.2142857142857,8.28509849928516,2.21428571428571,13,4.25,18,14
