"","PureNYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"1","II","Handedness",0.884615384615385,0.325812593608421,0.0638971066378314,1,1,1,26
"2","III","Handedness",1,0,0,1,1,1,11
"4","II","WristbandPreference",0.346153846153846,0.485164524037584,0.0951485913604076,0,0,1,26
"5","III","WristbandPreference",0.2,0.421637021355784,0.133333333333333,0,0,0,10
"7","II","NYHAClassMixed",NA,NA,NA,NA,NA,NA,0
"8","III","NYHAClassMixed",NA,NA,NA,NA,NA,NA,0
"10","II","EjectionFraction",31,9.64365076099295,5.56776436283002,35,27.5,36.5,3
"11","III","EjectionFraction",NA,NA,NA,NA,NA,NA,0
"13","II","HFDiagnosisYear",13999.6,17890.1357131055,3578.0271426211,2011,2001,36923,25
"14","III","HFDiagnosisYear",16563.625,20109.5364508448,7109.79479545522,2004,1995.25,40603,8
"16","II","HFTreatmentsToDate",NA,NA,NA,NA,NA,NA,0
"17","III","HFTreatmentsToDate",NA,NA,NA,NA,NA,NA,0
"19","II","RegularPhysicalActivities",NA,NA,NA,NA,NA,NA,0
"20","III","RegularPhysicalActivities",NA,NA,NA,NA,NA,NA,0
"22","II","Exercises",NA,NA,NA,NA,NA,NA,0
"23","III","Exercises",NA,NA,NA,NA,NA,NA,0
"25","II","DeviceID",NA,NA,NA,NA,NA,NA,0
"26","III","DeviceID",NA,NA,NA,NA,NA,NA,0
"28","II","ID",28.9615384615385,14.5037395708301,2.84441734968193,29.5,16.25,40.5,26
"29","III","ID",27.1818181818182,17.7359419361825,5.34758770053152,28,14.5,41.5,11
"31","II","CPSDate",NA,NA,NA,NA,NA,NA,0
"32","III","CPSDate",NA,NA,NA,NA,NA,NA,0
"34","II","Sex",0.115384615384615,0.325812593608421,0.0638971066378314,0,0,0,26
"35","III","Sex",0.0909090909090909,0.301511344577764,0.0909090909090909,0,0,0,11
"37","II","Age",54.9615384615385,13.9956586675462,2.74477448659239,57,45,65.75,26
"38","III","Age",57.8181818181818,12.8593793148673,3.87724874766111,58,52.5,67.5,11
"40","II","Height",173.961538461538,7.97737184406378,1.56449133461796,175,170,177,26
"41","III","Height",175.272727272727,9.52985738708517,2.87336011441438,175,170,181.5,11
"43","II","Weight",87.6230769230769,18.6859585291696,3.66461796809313,84.5,79,93.75,26
"44","III","Weight",94.3545454545455,17.4408350509007,5.25860962675607,94,82,104,11
"46","II","SBP.Resting",112.192307692308,14.6205861189468,2.86733284310282,109.5,102,115,26
"47","III","SBP.Resting",101.818181818182,17.0869434470778,5.15190729345265,94,91,108.5,11
"49","II","DBP.Resting",69.2692307692308,8.34533494741915,1.63665483632146,70,65,72,26
"50","III","DBP.Resting",64.6363636363636,11.4041459765537,3.43847938715179,60,56,73.5,11
"52","II","HR.Resting",67,12.3353151560874,2.41915433412333,66,60,73,26
"53","III","HR.Resting",69.3636363636364,13.0940652760915,3.94800922738336,70,61.5,80,11
"55","II","O2Sat.Resting",98.48,1.0847426730182,0.21694853460364,99,98,99,25
"56","III","O2Sat.Resting",98.0909090909091,1.57826141399614,0.475863721029178,98,97.5,99,11
"58","II","FEV.Resting",2.526,0.771864625436352,0.15437292508727,2.59,2.08,2.87,25
"59","III","FEV.Resting",2.58363636363636,0.877453961496245,0.264562323735818,2.29,2.015,3.215,11
"61","II","FEV.Resting.Percentage",70.08,23.2538885637076,4.65077771274153,75,63,86,25
"62","III","FEV.Resting.Percentage",74.2727272727273,16.395675704837,4.94348222702637,81,64.5,87,11
"64","II","FVC.Resting",3.2812,0.945124859476249,0.18902497189525,3.33,2.74,3.7,25
"65","III","FVC.Resting",3.35818181818182,0.953433984938844,0.287471162765046,3.05,2.645,4.04,11
"67","II","FVC.Resting.Percentage",72.8,17.0904456739236,3.41808913478472,76,63,83,25
"68","III","FVC.Resting.Percentage",73.3636363636364,12.6828445332483,3.82402150829042,75,65.5,82.5,11
"70","II","SBP",134.115384615385,18.5565663269408,3.639242069475,130,120,144,26
"71","III","SBP",116.818181818182,20.2623699592036,6.10933441073156,110,103,130,11
"73","II","DBP",73.6538461538462,9.33356226825453,1.83046215912166,70,70,79.5,26
"74","III","DBP",69.5454545454545,11.0214666570619,3.32309723098972,64,60,80,11
"76","II","HR",109.692307692308,18.2049866372249,3.57029161953484,113,100.5,121.75,26
"77","III","HR",95.6363636363636,19.3611607465706,5.83760960928471,93,79.5,114,11
"79","II","HR.1min",90.28,14.6529860438069,2.93059720876138,91,80,100,25
"80","III","HR.1min",82.8181818181818,12.2296212682011,3.68736955225212,80,74.5,93.5,11
"82","II","HR.1minDrop",23.4,15.1079449297381,3.02158898594763,23,14,32,25
"83","III","HR.1minDrop",12.8181818181818,8.71571203996761,2.62788605612324,17,4.5,19.5,11
"85","II","O2Sat",98.12,1.39403491108843,0.278806982217686,98,98,99,25
"86","III","O2Sat",98.1818181818182,1.60113596038449,0.482760656267336,99,97.5,99,11
"88","II","Duration",9.95782051282052,2.79432900986706,0.548013005719636,9.98333333333333,8.23333333333334,11.8625,26
"89","III","Duration",7.71212121212122,2.29609681983593,0.692299239429457,7.16666666666667,5.94166666666666,9.15,11
"91","II","Watts",94.4,29.022979401387,5.8045958802774,100,80,110,25
"92","III","Watts",73.6363636363636,23.3549683248457,7.0417879021953,70,55,90,11
