"","ExplicitNYHAClass","variable","mean","sd","sem","n"
"1","I/II","Handedness",0.888888888888889,0.333333333333333,0.111111111111111,9
"2","II","Handedness",0.884615384615385,0.325812593608421,0.0638971066378314,26
"3","II/III","Handedness",1,0,0,4
"4","III","Handedness",1,0,0,11
"6","I/II","WristbandPreference",0.666666666666667,0.5,0.166666666666667,9
"7","II","WristbandPreference",0.346153846153846,0.485164524037584,0.0951485913604076,26
"8","II/III","WristbandPreference",0.25,0.5,0.25,4
"9","III","WristbandPreference",0.2,0.421637021355784,0.133333333333333,10
"11","I/II","NYHAClassMixed",NA,NA,NA,0
"12","II","NYHAClassMixed",NA,NA,NA,0
"13","II/III","NYHAClassMixed",NA,NA,NA,0
"14","III","NYHAClassMixed",NA,NA,NA,0
"16","I/II","EjectionFraction",NA,NA,NA,0
"17","II","EjectionFraction",31,9.64365076099295,5.56776436283002,3
"18","II/III","EjectionFraction",19,NA,NA,1
"19","III","EjectionFraction",NA,NA,NA,0
"21","I/II","HFDiagnosisYear",25753.375,19729.4289899089,6975.40651385151,8
"22","II","HFDiagnosisYear",13999.6,17890.1357131055,3578.0271426211,25
"23","II/III","HFDiagnosisYear",11754,19517.3357642208,9758.66788211041,4
"24","III","HFDiagnosisYear",16563.625,20109.5364508448,7109.79479545522,8
"26","I/II","HFTreatmentsToDate",NA,NA,NA,0
"27","II","HFTreatmentsToDate",NA,NA,NA,0
"28","II/III","HFTreatmentsToDate",NA,NA,NA,0
"29","III","HFTreatmentsToDate",NA,NA,NA,0
"31","I/II","RegularPhysicalActivities",NA,NA,NA,0
"32","II","RegularPhysicalActivities",NA,NA,NA,0
"33","II/III","RegularPhysicalActivities",NA,NA,NA,0
"34","III","RegularPhysicalActivities",NA,NA,NA,0
"36","I/II","Exercises",NA,NA,NA,0
"37","II","Exercises",NA,NA,NA,0
"38","II/III","Exercises",NA,NA,NA,0
"39","III","Exercises",NA,NA,NA,0
"41","I/II","DeviceID",NA,NA,NA,0
"42","II","DeviceID",NA,NA,NA,0
"43","II/III","DeviceID",NA,NA,NA,0
"44","III","DeviceID",NA,NA,NA,0
"46","I/II","ID",22.6666666666667,15.4919333848297,5.16397779494322,9
"47","II","ID",28.9615384615385,14.5037395708301,2.84441734968193,26
"48","II/III","ID",23.5,15.4164414397962,7.70822071989812,4
"49","III","ID",27.1818181818182,17.7359419361825,5.34758770053152,11
"51","I/II","CPSDate",NA,NA,NA,0
"52","II","CPSDate",NA,NA,NA,0
"53","II/III","CPSDate",NA,NA,NA,0
"54","III","CPSDate",NA,NA,NA,0
"56","I/II","Sex",0.333333333333333,0.5,0.166666666666667,9
"57","II","Sex",0.115384615384615,0.325812593608421,0.0638971066378314,26
"58","II/III","Sex",0,0,0,4
"59","III","Sex",0.0909090909090909,0.301511344577764,0.0909090909090909,11
"61","I/II","Age",51.5555555555556,15.6693260154283,5.22310867180943,9
"62","II","Age",54.9615384615385,13.9956586675462,2.74477448659239,26
"63","II/III","Age",51.5,13.0256157883866,6.51280789419331,4
"64","III","Age",57.8181818181818,12.8593793148673,3.87724874766111,11
"66","I/II","Height",171.444444444444,11.7058864584353,3.90196215281175,9
"67","II","Height",173.961538461538,7.97737184406378,1.56449133461796,26
"68","II/III","Height",176.5,3.3166247903554,1.6583123951777,4
"69","III","Height",175.272727272727,9.52985738708517,2.87336011441438,11
"71","I/II","Weight",79.5333333333333,25.5050975297096,8.50169917656987,9
"72","II","Weight",87.6230769230769,18.6859585291696,3.66461796809313,26
"73","II/III","Weight",88.35,22.7352149758915,11.3676074879457,4
"74","III","Weight",94.3545454545455,17.4408350509007,5.25860962675607,11
"76","I/II","SBP.Resting",105.888888888889,12.7420999490316,4.2473666496772,9
"77","II","SBP.Resting",112.192307692308,14.6205861189468,2.86733284310282,26
"78","II/III","SBP.Resting",107.75,10.9962114688045,5.49810573440223,4
"79","III","SBP.Resting",101.818181818182,17.0869434470778,5.15190729345265,11
"81","I/II","DBP.Resting",68,7.63216876123687,2.54405625374562,9
"82","II","DBP.Resting",69.2692307692308,8.34533494741915,1.63665483632146,26
"83","II/III","DBP.Resting",68.75,9.5,4.75,4
"84","III","DBP.Resting",64.6363636363636,11.4041459765537,3.43847938715179,11
"86","I/II","HR.Resting",65.6666666666667,11.5325625946708,3.84418753155693,9
"87","II","HR.Resting",67,12.3353151560874,2.41915433412333,26
"88","II/III","HR.Resting",63,8.86942313043338,4.43471156521669,4
"89","III","HR.Resting",69.3636363636364,13.0940652760915,3.94800922738336,11
"91","I/II","O2Sat.Resting",98.875,1.1259916264596,0.398098157314428,8
"92","II","O2Sat.Resting",98.48,1.0847426730182,0.21694853460364,25
"93","II/III","O2Sat.Resting",98.75,0.5,0.25,4
"94","III","O2Sat.Resting",98.0909090909091,1.57826141399614,0.475863721029178,11
"96","I/II","FEV.Resting",2.86,0.841597121124897,0.297549515687245,8
"97","II","FEV.Resting",2.526,0.771864625436352,0.15437292508727,25
"98","II/III","FEV.Resting",3.385,0.344528663539044,0.172264331769522,4
"99","III","FEV.Resting",2.58363636363636,0.877453961496245,0.264562323735818,11
"101","I/II","FEV.Resting.Percentage",81.125,19.708138275487,6.96787910957949,8
"102","II","FEV.Resting.Percentage",70.08,23.2538885637076,4.65077771274153,25
"103","II/III","FEV.Resting.Percentage",88.75,3.5939764421413,1.79698822107065,4
"104","III","FEV.Resting.Percentage",74.2727272727273,16.395675704837,4.94348222702637,11
"106","I/II","FVC.Resting",3.59375,1.19973732244068,0.4241711981702,8
"107","II","FVC.Resting",3.2812,0.945124859476249,0.18902497189525,25
"108","II/III","FVC.Resting",4.2425,0.371786228900426,0.185893114450213,4
"109","III","FVC.Resting",3.35818181818182,0.953433984938844,0.287471162765046,11
"111","I/II","FVC.Resting.Percentage",79.125,18.403706924732,6.50669298272391,8
"112","II","FVC.Resting.Percentage",72.8,17.0904456739236,3.41808913478472,25
"113","II/III","FVC.Resting.Percentage",86.25,5.79511288357124,2.89755644178562,4
"114","III","FVC.Resting.Percentage",73.3636363636364,12.6828445332483,3.82402150829042,11
"116","I/II","SBP",131.444444444444,18.6622018469895,6.2207339489965,9
"117","II","SBP",134.115384615385,18.5565663269408,3.639242069475,26
"118","II/III","SBP",134.75,29.8370574956714,14.9185287478357,4
"119","III","SBP",116.818181818182,20.2623699592036,6.10933441073156,11
