"","variable","mean","sd","sem","n","NYHAClass.r","PureNYHAClass.r","ExplicitNYHAClass.r","NYHAClass.r2","PureNYHAClass.r2","ExplicitNYHAClass.r2","NYHAClass.p","PureNYHAClass.p","ExplicitNYHAClass.p"
"1","Age",54.7,13.7488403963715,1.94437965554517,50,0.0689413367349564,0.0976600024730965,0.122098997521177,0.00475290791080265,0.00953747608304521,0.0149081651956764,0.634269894613571,0.565270347468022,0.398278277981514
"2","AT",9.43478260869565,2.42699790699945,0.35784131899184,46,-0.285129010462641,-0.287119840917103,-0.361047787150174,0.0812985526074047,0.0824378030482625,0.130355504606037,0.0547696421283232,0.0895302934186635,0.0136961496906873
"3","BMI",28.9326854322342,6.43638416827643,0.910242178341999,50,0.132259310372684,0.139863805258875,0.191547966487962,0.0174925251802579,0.0195618840214925,0.0366906234656733,0.359881290229826,0.409015289452868,0.182673585928764
"4","CPSDate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","DBP",72.64,9.53352837439036,1.34824451243316,50,-0.123008545593897,-0.192438812758037,-0.12746858158536,0.015131102289126,0.0370326966557228,0.0162482392913837,0.394746766565778,0.253833312518722,0.377696951478834
"6","DBP.Resting",67.98,8.97499928940933,1.26925657173716,50,-0.165539938095708,-0.227428084149993,-0.157152532182855,0.0274034711047309,0.0517235334601361,0.0246969183714832,0.250603198674206,0.175823491652797,0.275748609266369
"7","DeviceID",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Duration",9.49306666666667,3.19172113876893,0.451377532175992,50,-0.286790989341398,-0.368604883443339,-0.306646507193981,0.082249071567418,0.135869560098278,0.0940320803742679,0.0434599243901679,0.0247755663091462,0.0303147038992484
"9","EjectionFraction",28,9.89949493661167,4.94974746830583,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Exercises",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","FEV.Resting",2.66645833333333,0.802197751349069,0.115787271921174,48,0.111156689425309,0.0339446360502103,-0.0128578108650073,0.0123558096039947,0.00115223831658123,0.0001653233002403,0.451959927146421,0.844190270531101,0.930880656685438
"12","FEV.Resting.Percentage",74.4375,20.6674852560371,2.98309454401141,48,0.121838653556518,0.0921889709335517,0.000125710145815887,0.0148446575004653,0.00849880636178724,1.58030407610517e-08,0.409398856616952,0.592820114670533,0.999323404434795
"13","FVC.Resting",3.43104166666667,0.972868624187808,0.140421490515243,48,0.114125508680372,0.038479361767818,0.00729065279854508,0.0130246317315537,0.00148066128205862,5.31536182289333e-05,0.439894677028603,0.823682978222584,0.960775625920309
"14","FVC.Resting.Percentage",75.1041666666667,15.900273760969,2.29500683402105,48,0.0726672817656856,0.0167778372771198,-0.0338239022307462,0.00528053383921354,0.000281495823697509,0.00114405636211508,0.623544878397135,0.922630294902598,0.819469774179877
"15","Handedness",0.92,0.27404751561787,0.0387561713321444,50,0.193046835626337,0.19321055028668,0.171897003663816,0.0372670807453418,0.0373303167420817,0.0295485798685979,0.179208661757272,0.251897665386082,0.232610327041518
"16","Height",174,8.72481799120141,1.23387559323938,50,0.12127245692607,0.0727277569928983,0.139558287627763,0.0147070088088855,0.00528932663721807,0.0194765156455934,0.401503420919295,0.668819189051427,0.333740229824648
"17","HFDiagnosisYear",16345.3777777778,18653.544070143,2780.70617080853,45,-0.0452782666781895,0.0614488293951973,-0.114048057292128,0.00205012143338124,0.00377595863404006,0.0130069593721085,0.76773404553959,0.734077228458384,0.455686855642021
"18","HFTreatmentsToDate",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","HR",105.673469387755,19.5878233382184,2.79826047688834,49,-0.342840998933375,-0.335577181090619,-0.320980566262959,0.117539950549635,0.112612044468726,0.10302852391849,0.0158861771185232,0.0423078492113922,0.0245296854893711
"20","HR.1min",88.375,14.6034461103492,2.10782588572657,48,-0.275657609780382,-0.245203819820745,-0.271492069408279,0.0759871178298335,0.0601249132546843,0.0737079437515897,0.0579080141531425,0.149468239281574,0.0619575354570103
"21","HR.1minDrop",19.1276595744681,13.2691486265282,1.93550425159284,47,-0.343023635647627,-0.347264518426951,-0.248278558167684,0.117665214612916,0.120592645758302,0.0616422424458241,0.018253242704104,0.0379747378312989,0.0924253607688821
"22","HR.Resting",66.96,11.9180192848254,1.68546245092241,50,0.0392111059614645,0.088116629535535,0.0815321056646867,0.0015375108307212,0.00776454040070272,0.00664748425411764,0.786886748715572,0.604035117668917,0.573519520241144
"23","ID",27,15.2235049197225,2.15292871243251,50,-0.0347515279695872,-0.0538944182034534,0.0380246757105369,0.001207668696221,0.00290460831348873,0.0014458759628915,0.810650057144241,0.751391232483555,0.793190981159428
"24","NYHAClassMixed",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","O2Sat",98.2708333333333,1.37978696063472,0.199155093286697,48,-0.00205748686411327,0.0200930326713687,-0.0734362577071744,4.23325219599866e-06,0.000403729961932692,0.00539288394603453,0.988926562566265,0.907402835861024,0.619865735483992
"26","O2Sat.Resting",98.4791666666667,1.18482574952505,0.171014866357771,48,-0.12219819745127,-0.14592982104928,-0.186389914153322,0.0149323994603395,0.021295512671475,0.0347412000980826,0.408007657344082,0.395748947446931,0.204634548304273
"27","OUES",1.2194,0.212556580702645,0.0950581927032068,5,-0.0446650846190647,-0.0446650846190647,-0.0446650846190647,0.00199496978402821,0.00199496978402821,0.00199496978402821,0.943149562429613,0.943149562429613,0.943149562429613
"28","PETCO2.Peak",31.6666666666667,2.06559111797729,0.843274042711568,6,-0.625000000000006,-0.625000000000006,-0.625000000000001,0.390625000000008,0.390625000000008,0.390625000000002,0.184570312499994,0.184570312499994,0.184570312499999
"29","RegularPhysicalActivities",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","RER.Peak",1.088,0.101641526946421,0.014520218135203,49,-0.478905746052393,-0.542360892371225,-0.480922963506565,0.229350713602,0.294155337573712,0.231286896827937,0.00049942979182771,0.000524992681198988,0.000469056594434081
